Complete?	Hairstyle / Face Paint	Coiffure / Peinture faciale	Location	Lieux	Method of Unlock	Méthode d'obtention	Gender	Genre	Patch
N	Adventure	Aventurier	The Gold Saucer	Gold Saucer	14 MGP	14 PGS	Unisex (Differing Styles)	Unisexe (styles différents)	3,1
N	Controlled Chaos	Coupe asymétrique	The Firmament	Azurée	1,800 Skybuilders' Scrips	1.800 Assignats d'Azurée	Unisex	Unisexe	5,21
N	Curls	Boucles	The Gold Saucer	Gold Saucer	9,600 MGP	9.600 PGS	Unisex	Unisexe	3,1
N	Eternal Bonding 	Lien éternel	MogStation	Station mog	Quest: The Ties That Bind (Level 1 Special Quest)	Quête nv.1: "Jusqu'à ce que le destin vous sépare"	Unisex (Differing Styles)	Unisexe (styles différents)	2,4
N	Fashionably Feathered	Brushing souple	Wolves' Den	Jetée de l'antre des loups	18,000 Wolf Marks	18.000 Marques de loup	Unisex	Unisexe	4,3
N	Form and Function	Tresse bandeau	Eureka Pyros	Eurêka Pyros	Happy Bunny Lockbox - Eureka Pyros	Eurêka Pyros	Unisex	Unisexe	4,45
N	Great Lengths	Cheveux longs classiques	The Gold Saucer	Gold Saucer	30,000 MGP	30.000 PGS	Unisex (Differing Styles)	Unisexe (styles différents)	5,0
N	Gyr Abanian Plait	Tresse gyrabanienne	Random Drop	Récompense aléatoire	Heaven-on-High	Pilier des cieux	Unisex	Unisexe	4,35
N	Lexen-tails	Ramza & Alma	The Gold Saucer	Gold Saucer	50,000 MGP	50.000 PGS	Unisex (Differing Styles)	Unisexe (styles différents)	4,45
N	Lucian Locks	Noctis	Crossover Questline	Quête crossover	Final Fantasy XV Collaboration	Quête en collaboration avec Final Fantasy XV	Unisex	Unisexe	4,5
N	Master & Commander	Capitaine général	MogStation	Station mog	Final Fantasy XIV Online Store (Aymeric's Attire)	Compris dans la tenue "Tenue d'Aymeric" (Station mog)	Unisex	Unisexe	3.55a
N	Modern Legend	Mèches légendaires	The Firmament	Azurée	1,800 Skybuilders' Scrips	1.800 Assignats d'Azurée	Unisex	Unisexe	5,11
N	Ponytails	Queue de cheval	The Gold Saucer	Gold Saucer	8,000 MGP	8.000 PGS	Unisex	Unisexe	2,51
N	Pulse - Lightning Hairstyle	Lightning	MogStation	Station mog	Final Fantasy XIII Collaboration / Final Fantasy XIV Online Store (Snow/Lightning's Attire)	Collaboration avec Final Fantasy XIII / Compris dans les tenues "Tenue de Lightning" ou "Tenue de Snow" (Station mog)	Female Only	Femme seulement	3,2
N	Pulse - Snow's Hairstyle	Snow	MogStation	Station mog	Final Fantasy XIII Collaboration / Final Fantasy XIV Online Store (Snow/Lightning's Attire)	Collaboration avec Final Fantasy XIII / Compris dans les tenues "Tenue de Lightning" ou "Tenue de Snow" (Station mog)	Male Only	Homme seulement	3,2
N	Rainmaker	Flambeur	Make it Rain 2018	Fête du Gold Saucer (2018)	The Make It Rain Campaign (2018)	Le festival du Gold Saucer (2018)	Unisex	Unisexe	3.55a
N	Samsonian Locks	Cheveux longs	Random Drop	Récompense aléatoire	The Palace of the Dead	Palais des morts	Unisex	Unisexe	3,4
N	Scion Special Issue	Meneuse des Héritiers	MogStation	Station mog	Final Fantasy XIV Online Store (Minfilia's Attire)	Compris dans la tenue "Tenue de Minfillia" (Station mog)	Female Only	Femme seulement	3,1
N	Scion Special Issue II	Surineur des Héritiers	MogStation	Station mog	Final Fantasy XIV Online Store (Thancred's Modish Attire)	Compris dans la tenue "Nouvelle tenue de Thancred" (Station mog)	Male Only	Homme seulement	3,35
N	Scion Special Issue III	Élémentaliste des Héritiers	MogStation	Station mog	Final Fantasy XIV Online Store (Y'shtola's Modish Attire)	Compris dans la tenue "Nouvelle tenue de Y'shtola" (Station mog)	Female Only	Femme seulement	3,35
N	Strife	Strife	Contest	Compétition	Community Events Reward	Concours d'art & costume du Fan Festival 2018	Unisex	Unisexe	4,4
N	Styled for Hire	Mercenaire	Wolves' Den	Jetée de l'antre des loups	18,000 Wolf Marks	18.000 Marques de loup	Unisex	Unisexe	4,4
N	Bats	Chauve-souris	MogStation	Station mog	Final Fantasy XIV Online Store (Modern Cosmetics)	Acheter Méthode de maquillage : Veillée des saints (Station mog)	Unisex	Unisexe	2,38
N	Spiderweb	Toile d'araignée	MogStation	Station mog	Final Fantasy XIV Online Store (Modern Cosmetics)	Acheter Méthode de maquillage : Veillée des saints (Station mog)	Unisex	Unisexe	2,38
